Team,QB,RB,WR,TE,OL,DL,LB,SEC,K,P,LS,Total,Year,Scraped_Date
SF,21.55M,12.82M,23.82M,4.75M,39.73M,48.68M,26.32M,32.15M,4.02M,0.69M,0.27M,220.65M,2019,2025-08-15 15:24:42
ATL,20.20M,12.22M,22.48M,8.67M,44.87M,47.30M,9.77M,38.55M,5.66M,3.65M,1.86M,216.84M,2019,2025-08-15 15:24:42
CLE,11.91M,6.68M,37.91M,8.14M,44.86M,42.19M,18.18M,40.73M,0.60M,0.50M,0.81M,212.75M,2019,2025-08-15 15:24:42
PIT,28.23M,3.02M,28.74M,9.08M,38.70M,31.79M,28.44M,30.27M,4.20M,1.53M,0.72M,206.40M,2019,2025-08-15 15:24:42
HOU,8.00M,13.17M,31.60M,4.27M,33.77M,25.95M,35.40M,40.39M,3.10M,0.97M,0.98M,198.11M,2019,2025-08-15 15:24:42
TEN,27.09M,7.76M,17.16M,8.22M,38.97M,27.21M,21.26M,40.14M,4.27M,2.95M,1.27M,197.09M,2019,2025-08-15 15:24:42
IND,31.28M,3.77M,32.11M,14.40M,29.66M,38.13M,5.58M,32.61M,3.99M,3.00M,1.57M,196.10M,2019,2025-08-15 15:24:42
NE,24.45M,12.39M,28.96M,5.54M,25.91M,16.88M,25.47M,49.04M,3.07M,0.67M,0.96M,194.99M,2019,2025-08-15 15:24:42
NYG,30.13M,8.79M,32.42M,10.00M,30.05M,14.23M,35.94M,29.93M,0.65M,0.89M,0.94M,194.61M,2019,2025-08-15 15:24:42
ARI,24.58M,12.43M,20.28M,9.65M,39.79M,15.56M,35.30M,30.68M,0.65M,2.06M,1.05M,192.02M,2019,2025-08-15 15:24:42
GB,30.38M,2.73M,17.07M,16.23M,46.81M,12.27M,34.85M,24.23M,4.85M,0.62M,0.59M,191.76M,2019,2025-08-15 15:24:42
MIN,30.04M,3.77M,25.26M,6.19M,26.29M,38.40M,13.76M,42.89M,2.19M,0.65M,0.62M,191.02M,2019,2025-08-15 15:24:42
JAX,28.67M,10.54M,14.77M,7.20M,32.63M,42.23M,12.97M,38.29M,2.13M,0.59M,0.52M,190.54M,2019,2025-08-15 15:24:42
BAL,20.19M,4.94M,17.28M,6.84M,29.35M,21.81M,11.24M,67.52M,4.70M,3.95M,1.24M,190.03M,2019,2025-08-15 15:24:42
NYJ,9.61M,13.78M,20.28M,3.08M,39.30M,33.69M,31.05M,34.50M,1.00M,0.74M,0.77M,188.46M,2019,2025-08-15 15:24:42
NO,29.35M,4.07M,16.19M,9.96M,45.34M,26.41M,20.92M,27.64M,1.90M,4.25M,0.65M,187.89M,2019,2025-08-15 15:24:42
CIN,17.73M,8.63M,29.58M,12.10M,34.68M,32.63M,11.61M,31.92M,1.84M,2.75M,1.11M,184.95M,2019,2025-08-15 15:24:42
TB,23.31M,5.01M,22.47M,11.74M,43.35M,31.47M,28.55M,15.17M,0.77M,2.60M,0.50M,184.94M,2019,2025-08-15 15:24:42
SEA,27.06M,5.05M,20.71M,7.11M,34.17M,29.76M,29.78M,26.18M,2.50M,1.24M,0.88M,184.89M,2019,2025-08-15 15:24:42
LAC,27.06M,6.58M,24.92M,7.10M,38.39M,40.63M,14.36M,21.91M,1.19M,0.55M,0.65M,184.10M,2019,2025-08-15 15:24:42
CAR,24.40M,6.38M,11.87M,9.74M,28.45M,34.38M,40.27M,20.99M,4.06M,1.40M,1.17M,183.74M,2019,2025-08-15 15:24:42
CHI,14.28M,3.74M,29.75M,13.90M,20.30M,19.04M,35.34M,39.49M,4.56M,1.65M,0.82M,182.86M,2019,2025-08-15 15:24:42
DAL,2.98M,7.46M,28.01M,5.74M,53.23M,42.68M,17.37M,19.53M,0.63M,2.30M,0.74M,182.37M,2019,2025-08-15 15:24:42
DEN,15.97M,5.09M,15.65M,7.82M,28.07M,20.18M,44.59M,37.85M,4.00M,0.90M,1.00M,182.23M,2019,2025-08-15 15:24:42
LAR,11.77M,12.45M,27.27M,4.26M,33.01M,31.24M,27.03M,27.94M,2.58M,2.19M,1.25M,180.98M,2019,2025-08-15 15:24:42
WAS,29.99M,8.79M,13.00M,17.41M,32.18M,14.68M,25.74M,32.10M,3.23M,2.00M,1.08M,180.63M,2019,2025-08-15 15:24:42
DET,31.99M,6.29M,17.43M,7.20M,30.00M,25.39M,15.54M,35.82M,3.40M,2.36M,0.74M,176.63M,2019,2025-08-15 15:24:42
MIA,25.54M,3.46M,23.54M,5.33M,18.45M,28.18M,9.61M,59.22M,0.59M,0.65M,0.66M,175.76M,2019,2025-08-15 15:24:42
BUF,9.03M,8.33M,20.57M,14.87M,32.75M,47.86M,11.45M,21.36M,5.03M,0.57M,0.85M,174.80M,2019,2025-08-15 15:24:42
OAK,25.84M,7.62M,19.83M,6.79M,43.78M,22.85M,11.06M,33.03M,0.59M,0.55M,0.60M,173.15M,2019,2025-08-15 15:24:42
PHI,16.81M,6.14M,20.74M,8.52M,37.74M,37.25M,12.00M,29.22M,0.65M,0.58M,0.72M,170.36M,2019,2025-08-15 15:24:42
KC,9.44M,7.47M,26.83M,13.08M,31.78M,21.62M,19.55M,30.53M,1.35M,3.21M,0.93M,166.51M,2019,2025-08-15 15:24:42
