Rank,Team,Record,PlayersActive,Avg AgeTeam,Total CapAllocations,Cap SpaceAll,Active53-Man,ReservesIR/PUP/NFI/SUSP,DeadCap
1,OAKOAK,-,60,26.6,113093129,7506871,79520206,12507991,21064932
2,TENTEN,-,55,25.8,115654867,4945133,90842019,22099928,2712920
3,WASWAS,-,60,26.5,116425969,4174031,88980238,18915770,8142361
4,MINMIN,-,57,25.8,116838009,3761991,101904733,2843413,11508463
5,PHIPHI,-,59,26.0,117414344,3185656,88815050,18998824,9406670
6,ARIARI,-,53,27.0,117797796,2802204,88769403,18922351,10106042
7,CINCIN,-,54,25.9,118185807,2414193,90863643,17574666,9553698
8,NONO,-,54,26.4,118502314,2097686,97362462,15131199,6008653
9,STLSTL,-,56,25.5,119565241,1034759,96908309,8214158,13829074
10,INDIND,-,54,25.9,121500398,-900398,75393533,9960100,36146765
11,GBGB,-,56,26.3,122110476,-1510476,106258073,11350672,4404831
12,MIAMIA,-,63,25.9,122861011,-2261011,90041870,20500935,12090206
13,NYGNYG,-,53,26.5,124971791,-4371791,113975692,6149446,4846653
14,PITPIT,-,56,26.7,125059129,-4459129,93010135,21450115,10419367
15,CHICHI,-,55,27.2,125651164,-5051164,109098054,11139899,5413211
16,SDSD,-,54,27.2,125987093,-5387093,94427351,21626950,9932792
17,HOUHOU,-,59,26.5,126008450,-5408450,100750648,8310964,16761538
18,JAXJAX,-,57,26.7,126080689,-5480689,95270155,21708958,8930951
19,SEASEA,-,56,26.0,126992530,-6392530,93341595,10661282,22989653
20,CLECLE,-,61,25.7,127133978,-6533978,103625309,16461897,7046772
21,CARCAR,-,53,25.8,127165126,-6565126,91167463,29857920,6139743
22,ATLATL,-,53,26.8,127681289,-7081289,103035944,16039478,8315167
23,NENE,-,61,26.3,129555635,-8955635,102563402,7599569,19328664
24,BALBAL,-,56,26.8,129851198,-9251198,101262723,16511111,11616664
25,BUFBUF,-,54,26.1,132480943,-11880943,79492678,31399020,21589245
26,NYJNYJ,-,62,26.2,132815305,-12215305,102512003,24247707,6049895
27,DETDET,-,59,27.4,132860646,-12260646,115697825,16425593,737228
28,DALDAL,-,58,26.5,133052799,-12452799,98315939,9249450,25487410
29,DENDEN,-,56,26.7,133892694,-13292694,116387623,9020892,8484179
30,TBTB,-,59,25.8,137720452,-17120452,96004352,37352378,4363722
31,SFSF,-,56,27.1,139207508,-18607508,129631457,6575171,2225680
32,KCKC,-,60,26.1,143960224,-23360224,114132477,23760405,6067342
